bookID,average_rating,isbn,authors,title
1,4.56,439785960,J.K. Rowling,Harry Potter and the Half-Blood Prince 
2,4.49,439358078,J.K. Rowling,Harry Potter and the Order of the Phoenix 
3,4.47,439554934,J.K. Rowling,Harry Potter and the Sorcerer's Stone 
4,4.41,439554896,J.K. Rowling,Harry Potter and the Chamber of Secrets 
5,4.55,043965548X,J.K. Rowling,Harry Potter and the Prisoner of Azkaban 
8,4.78,439682584,J.K. Rowling,Harry Potter Boxed Set  Books 1-5 
9,3.69,976540606,W. Frederick Zimmerman,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation"
10,4.73,439827604,J.K. Rowling,Harry Potter Collection 
12,4.38,517226952,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story 
13,4.38,345453743,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy
14,4.22,1400052920,Douglas Adams,The Hitchhiker's Guide to the Galaxy 
16,4.22,739322206,Douglas Adams,The Hitchhiker's Guide to the Galaxy 
18,4.38,517149257,Douglas Adams,The Ultimate Hitchhiker's Guide 
21,4.2,076790818X,Bill Bryson,A Short History of Nearly Everything
22,3.43,767915062,Bill Bryson,Bill Bryson's African Diary
23,3.88,767910435,Bill Bryson,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right
24,4.07,767903862,Bill Bryson,In a Sunburned Country
25,3.9,076790382X,Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away
26,3.83,60920084,Bill Bryson,The Lost Continent: Travels in Small Town America
27,3.87,380713802,Bill Bryson,Neither Here nor There: Travels in Europe
28,3.92,380727501,Bill Bryson,Notes from a Small Island
29,3.94,380715430,Bill Bryson,The Mother Tongue: English and How It Got That Way
30,4.59,345538374,J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
31,4.49,618517650,J.R.R. Tolkien,The Lord of the Rings 
32,4.49,618346244,J.R.R. Tolkien,The Lord of the Rings 
34,4.35,618346252,J.R.R. Tolkien,The Fellowship of the Ring 
35,4.49,618260587,J.R.R. Tolkien,The Lord of the Rings 
36,4.53,618391002,Chris   Smith,The Lord of the Rings: Weapons and Warfare
37,4.5,618510826,Jude Fisher,The Lord of the Rings: Complete Visual Companion
38,4.49,618153977,J.R.R. Tolkien,The Lord of the Rings Box Set
40,3.61,193337201X,James Hamilton,Cooking with Fernet Branca 
45,3.89,097669400X,Dave Thomas,Agile Web Development with Rails: A Pragmatic Guide
50,3.7,689840926,Gary Paulsen,Hatchet
51,3.97,1557344493,Donna Ickes,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom"
53,3.87,385326505,Gary Paulsen,Guts: The True Stories behind Hatchet and the Brian Books
54,4.33,1575606240,Molly Hatchet,Molly Hatchet - 5 of the Best
55,3.48,1595580271,Dale Peck,Hatchet Jobs: Writings on Contemporary Fiction
57,3.75,1595962808,Angela Knight,A Changeling for All Seasons 
58,3.6,670059676,Delia Sherman,Changeling 
59,4.07,141312629,Patricia A. McKillip,The Changeling Sea
61,4.17,595321801,Zilpha Keatley Snyder,The Changeling
63,3.56,1590301943,Kate Horsley,The Changeling
66,3.99,449146979,Philippa Carr,The Changeling 
67,3.83,61159174,Edward P. Jones,The Known World
68,3.83,006076273X,Edward P. Jones,The Known World
69,3.83,60749911,Edward P. Jones,The Known World
71,3.83,273704745,Satyajit Das,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives
72,4.16,1932386106,Mark Smylie,Artesia: Adventures in the Known World
73,3.83,096513671X,Edward P. Jones,The Known World
74,4.43,374517193,John McPhee,The John McPhee Reader 
75,3.95,374280398,John McPhee,Uncommon Carriers
76,4.15,374519749,John McPhee,Heirs of General Practice
77,4.24,374522596,John McPhee,The Control of Nature
78,4.33,374518734,John McPhee,Annals of the Former World
79,4.22,374522871,John McPhee,Coming Into the Country
80,3.91,374519323,John McPhee,La Place de la Concorde Suisse
81,4.22,374516006,John McPhee,Giving Good Weight
83,4.22,374520658,John McPhee,Rising from the Plains
85,3.73,822205106,Wendy Wasserstein,The Heidi Chronicles
86,3.83,679734996,Wendy Wasserstein,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
89,3.94,1596670231,Heidi Hayes Jacobs,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening
90,3.75,1581807740,Heidi Boyd,Simply Beautiful Beaded Jewelry
91,4.45,800793617,Heidi Baker,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth
92,3.7,871202867,Heidi Hayes Jacobs,Mapping the Big Picture: Integrating Curriculum & Assessment K-12
93,3.98,753454947,Johanna Spyri,Heidi
94,3.28,871209993,Heidi Hayes Jacobs,Getting Results with Curriculum Mapping
96,4.45,1852402873,Rolland Baker,There's Always Enough: The Miraculous Move of God in Mozambique
98,3.88,761129588,Heidi Murkoff,What to Expect the First Year 
99,3.82,972016414,Heidi Fleiss,The Player's Handbook: The Ultimate Guide on Dating and Relationships
100,3.75,1581805632,Heidi Boyd,Simply Beautiful Beading: 53 Quick and Easy Projects
103,3.83,441294677,Frank Herbert,God Emperor of Dune 
105,3.9,441102670,Frank Herbert,Chapterhouse: Dune 
106,3.87,441172695,Frank Herbert,Dune Messiah 
107,4,765306476,Brian Herbert,Dreamer of Dune: The Biography of Frank Herbert
109,3.85,399128980,Frank Herbert,Heretics of Dune 
